fc_oper;channel;amount;operations_number;category_name
190109;Online;2942.46;15;Tabaco, Alcohol y Otros
190109;Offline;21396.90;1710;Contenidos digitales y media
190109;Offline;1518832.28;8797;Mantenimiento y Reparaciones Auto
190109;Offline;643666.16;6103;Alojamiento
190109;Offline;322489.91;14847;Tabaco, Alcohol y Otros
190109;Offline;2623229.87;70028;Combustible y Recarga
190109;Offline;7962161.37;287486;Supermercados y Pequeño Comercio
190109;Online;336554.22;1563;Alojamiento
190109;Offline;860256.04;34912;Farmacias, Ópticas y Ortopedias
190109;Online;25771.91;554;Combustible y Recarga
190109;Offline;2064120.55;104157;Restaurantes y Cafeterías
190109;Online;23114.19;1153;Gaming
190109;Online;1696633.61;44758;Supermercados y Pequeño Comercio
190109;Online;12976.36;186;Peluquería y Barbería
190109;Online;34705.68;1294;Restaurantes y Cafeterías
190109;Offline;1104599.13;16758;Bricolaje y Jardinería
190109;Offline;588138.98;13866;Peluquería y Barbería
190109;Online;3543.54;70;Bar y Discotecas
190109;Online;45208.72;765;Farmacias, Ópticas y Ortopedias
190109;Online;63705.28;510;Bricolaje y Jardinería
190109;Offline;35419.66;1130;Bar y Discotecas
190110;Online;18193.39;1626;Contenidos digitales y media
190110;Online;86962.78;950;Mantenimiento y Reparaciones Auto
190110;Offline;720070.03;6756;Alojamiento
190110;Offline;1084867.91;16857;Bricolaje y Jardinería
190110;Offline;21580.37;1831;Contenidos digitales y media
190110;Offline;1701537.18;8849;Mantenimiento y Reparaciones Auto
190110;Online;318362.73;1514;Alojamiento
190110;Online;58910.82;464;Bricolaje y Jardinería
190110;Offline;2702175.29;72527;Combustible y Recarga
190110;Offline;8240396.41;293757;Supermercados y Pequeño Comercio
190110;Online;27309.24;1399;Gaming
190110;Offline;842483.87;34531;Farmacias, Ópticas y Ortopedias
190110;Online;22065.28;560;Combustible y Recarga
190110;Online;2545.68;63;Bar y Discotecas
190110;Offline;81763.66;3556;Gaming
190110;Online;1591160.87;42220;Supermercados y Pequeño Comercio
190110;Online;47108.52;754;Farmacias, Ópticas y Ortopedias
190110;Offline;51570.36;1564;Bar y Discotecas
190110;Online;2009.83;13;Tabaco, Alcohol y Otros
190110;Online;11667.81;162;Peluquería y Barbería
190110;Offline;2356017.21;115914;Restaurantes y Cafeterías
190110;Offline;632556.36;14880;Peluquería y Barbería
190110;Online;32748.31;1459;Restaurantes y Cafeterías
190110;Offline;339610.15;15623;Tabaco, Alcohol y Otros
190111;Offline;25150.37;1809;Contenidos digitales y media
190111;Offline;1963936.33;10050;Mantenimiento y Reparaciones Auto
190111;Online;270419.88;1294;Alojamiento
190111;Online;1260.12;11;Tabaco, Alcohol y Otros
190111;Online;18042.52;1775;Contenidos digitales y media
190111;Online;71332.11;551;Mantenimiento y Reparaciones Auto
190111;Online;27201.16;1391;Gaming
190111;Offline;388861.30;17203;Tabaco, Alcohol y Otros
190111;Online;27180.54;631;Combustible y Recarga
190111;Offline;10518039.51;336437;Supermercados y Pequeño Comercio
190111;Offline;936433.85;7409;Alojamiento
190111;Offline;848325.07;34326;Farmacias, Ópticas y Ortopedias
190111;Offline;2883363.10;78340;Combustible y Recarga
190111;Offline;3227463.53;139999;Restaurantes y Cafeterías
190111;Offline;92435.26;3889;Gaming
190111;Online;1263452.63;33804;Supermercados y Pequeño Comercio
190111;Online;11857.71;160;Peluquería y Barbería
190111;Online;54722.98;2309;Restaurantes y Cafeterías
190111;Offline;73775.54;2804;Bar y Discotecas
190111;Offline;822033.51;20168;Peluquería y Barbería
190111;Offline;1098671.16;17824;Bricolaje y Jardinería
190111;Online;34925.27;612;Farmacias, Ópticas y Ortopedias
190111;Online;47859.96;389;Bricolaje y Jardinería
190111;Online;2681.70;45;Bar y Discotecas
190112;Online;20410.98;2126;Contenidos digitales y media
190112;Online;41710.87;396;Mantenimiento y Reparaciones Auto
190112;Offline;673645.27;6337;Alojamiento
190112;Offline;1130370.99;20659;Bricolaje y Jardinería
190112;Offline;21116.31;1790;Contenidos digitales y media
190112;Offline;548471.67;4099;Mantenimiento y Reparaciones Auto
190112;Online;184191.72;929;Alojamiento
190112;Offline;165130.05;7901;Bar y Discotecas
190112;Online;21962.78;532;Combustible y Recarga
190112;Online;753500.73;22955;Supermercados y Pequeño Comercio
190112;Offline;107273.78;4372;Gaming
190112;Offline;627959.56;26845;Farmacias, Ópticas y Ortopedias
190112;Offline;2357325.15;69288;Combustible y Recarga
190112;Online;2732.28;48;Bar y Discotecas
190112;Online;26900.65;1591;Gaming
190112;Offline;13557683.96;402404;Supermercados y Pequeño Comercio
190112;Online;28575.12;450;Farmacias, Ópticas y Ortopedias
190112;Online;25855.46;247;Bricolaje y Jardinería
190112;Online;422.43;7;Tabaco, Alcohol y Otros
190112;Offline;522105.59;13561;Peluquería y Barbería
190112;Offline;319874.99;13720;Tabaco, Alcohol y Otros
190112;Online;8357.23;96;Peluquería y Barbería
190112;Online;54312.16;2326;Restaurantes y Cafeterías
190112;Offline;4714156.87;142199;Restaurantes y Cafeterías
190113;Online;18013.23;1897;Contenidos digitales y media
190113;Online;34794.37;419;Mantenimiento y Reparaciones Auto
190113;Online;25037.24;1414;Gaming
190113;Online;107.00;3;Tabaco, Alcohol y Otros
190113;Offline;21236.00;1781;Contenidos digitales y media
190113;Offline;19842.52;342;Mantenimiento y Reparaciones Auto
190113;Offline;69409.81;3541;Gaming
190113;Online;52385.75;2354;Restaurantes y Cafeterías
190113;Online;19966.63;487;Combustible y Recarga
190113;Online;761856.71;24598;Supermercados y Pequeño Comercio
190113;Offline;850049.57;7150;Alojamiento
190113;Online;35508.32;636;Farmacias, Ópticas y Ortopedias
190113;Offline;1833953.32;57800;Combustible y Recarga
190113;Offline;3764868.53;111371;Restaurantes y Cafeterías
190113;Online;223302.03;1090;Alojamiento
190113;Offline;2045872.41;87617;Supermercados y Pequeño Comercio
190113;Offline;193691.41;9947;Farmacias, Ópticas y Ortopedias
190113;Offline;58665.50;3030;Tabaco, Alcohol y Otros
190113;Online;34112.65;330;Bricolaje y Jardinería
190113;Online;6912.62;106;Peluquería y Barbería
190113;Online;2167.95;56;Bar y Discotecas
190113;Offline;26427.39;788;Peluquería y Barbería
190113;Offline;226966.89;4483;Bricolaje y Jardinería
190113;Offline;181479.33;10436;Bar y Discotecas
190114;Offline;19847.26;1685;Contenidos digitales y media
190114;Online;102780.94;833;Mantenimiento y Reparaciones Auto
190114;Online;290778.41;1326;Alojamiento
190114;Offline;1184081.94;18056;Bricolaje y Jardinería
190114;Online;18246.90;1433;Contenidos digitales y media
190114;Offline;1328298.00;8038;Mantenimiento y Reparaciones Auto
190114;Online;20097.10;1063;Gaming
190114;Online;4711.40;46;Bar y Discotecas
190114;Offline;2752895.71;73160;Combustible y Recarga
190114;Online;1867989.93;50131;Supermercados y Pequeño Comercio
190114;Offline;675010.33;5919;Alojamiento
190114;Online;48294.43;806;Farmacias, Ópticas y Ortopedias
190114;Online;28313.35;599;Combustible y Recarga
190114;Online;57907.85;470;Bricolaje y Jardinería
190114;Offline;62756.05;2681;Gaming
190114;Offline;8420581.07;311770;Supermercados y Pequeño Comercio
190114;Online;12396.08;171;Peluquería y Barbería
190114;Offline;46365.30;1296;Bar y Discotecas
190114;Online;26031.17;1122;Restaurantes y Cafeterías
190114;Offline;414284.40;9403;Peluquería y Barbería
190114;Offline;1732281.98;95490;Restaurantes y Cafeterías
190114;Offline;888859.50;38233;Farmacias, Ópticas y Ortopedias
190114;Online;3335.29;22;Tabaco, Alcohol y Otros
190114;Offline;393385.88;18434;Tabaco, Alcohol y Otros
190115;Offline;19790.75;1657;Contenidos digitales y media
190115;Online;92829.59;788;Mantenimiento y Reparaciones Auto
190115;Online;296716.03;1365;Alojamiento
190115;Online;1905.34;21;Tabaco, Alcohol y Otros
190115;Online;19986.66;1604;Contenidos digitales y media
190115;Offline;1452181.78;8150;Mantenimiento y Reparaciones Auto
190115;Offline;51577.48;2537;Gaming
190115;Offline;2064987.10;105828;Restaurantes y Cafeterías
190115;Online;27765.28;572;Combustible y Recarga
190115;Online;1525714.58;41155;Supermercados y Pequeño Comercio
190115;Offline;726721.42;6676;Alojamiento
190115;Offline;588070.35;13602;Peluquería y Barbería
190115;Offline;2593403.96;70336;Combustible y Recarga
190115;Online;26116.26;1241;Restaurantes y Cafeterías
190115;Online;18519.46;1009;Gaming
190115;Offline;7599244.53;289845;Supermercados y Pequeño Comercio
190115;Online;12763.42;151;Peluquería y Barbería
190115;Offline;330081.54;15215;Tabaco, Alcohol y Otros
190115;Offline;42338.25;1074;Bar y Discotecas
190115;Online;49574.41;798;Farmacias, Ópticas y Ortopedias
190115;Online;2365.04;55;Bar y Discotecas
190115;Offline;827227.47;34848;Farmacias, Ópticas y Ortopedias
190115;Offline;1065376.34;16794;Bricolaje y Jardinería
190115;Online;59472.70;509;Bricolaje y Jardinería
190116;Online;17834.19;1462;Contenidos digitales y media
190116;Offline;1573417.28;8306;Mantenimiento y Reparaciones Auto
190116;Online;308603.65;1408;Alojamiento
190116;Online;62589.27;485;Bricolaje y Jardinería
190116;Offline;20906.76;1774;Contenidos digitales y media
190116;Online;98450.15;748;Mantenimiento y Reparaciones Auto
190116;Offline;804368.35;7522;Alojamiento
190116;Online;6631.77;75;Bar y Discotecas
190116;Online;26930.07;577;Combustible y Recarga
190116;Offline;7552069.66;284059;Supermercados y Pequeño Comercio
190116;Online;16034.40;936;Gaming
190116;Online;44462.57;731;Farmacias, Ópticas y Ortopedias
190116;Offline;2667480.03;72378;Combustible y Recarga
190116;Offline;1067704.98;16551;Bricolaje y Jardinería
190116;Offline;49485.38;2533;Gaming
190116;Online;1446344.03;38120;Supermercados y Pequeño Comercio
190116;Offline;807705.97;33986;Farmacias, Ópticas y Ortopedias
190116;Offline;44923.49;1266;Bar y Discotecas
190116;Offline;323998.06;15712;Tabaco, Alcohol y Otros
190116;Offline;611422.37;14310;Peluquería y Barbería
190116;Offline;2286716.39;113549;Restaurantes y Cafeterías
190116;Online;10436.02;130;Peluquería y Barbería
190116;Online;31663.13;1449;Restaurantes y Cafeterías
190116;Online;1457.55;17;Tabaco, Alcohol y Otros
190117;Offline;20952.46;1748;Contenidos digitales y media
190117;Online;89698.46;716;Mantenimiento y Reparaciones Auto
190117;Online;15620.50;965;Gaming
190117;Online;35325.16;1478;Restaurantes y Cafeterías
190117;Online;15064.72;1384;Contenidos digitales y media
190117;Offline;1576804.55;8163;Mantenimiento y Reparaciones Auto
190117;Online;281972.35;1376;Alojamiento
190117;Online;6611.78;20;Tabaco, Alcohol y Otros
190117;Offline;2609793.72;71429;Combustible y Recarga
190117;Offline;7733735.30;283988;Supermercados y Pequeño Comercio
190117;Offline;45732.34;2424;Gaming
190117;Online;37546.15;631;Farmacias, Ópticas y Ortopedias
190117;Online;25668.64;626;Combustible y Recarga
190117;Offline;319569.77;15367;Tabaco, Alcohol y Otros
190117;Offline;853567.69;7953;Alojamiento
190117;Online;1299869.89;34999;Supermercados y Pequeño Comercio
190117;Online;9873.52;147;Peluquería y Barbería
190117;Offline;2545553.64;123982;Restaurantes y Cafeterías
190117;Offline;1039470.83;16147;Bricolaje y Jardinería
190117;Offline;665247.75;15760;Peluquería y Barbería
190117;Online;51951.88;474;Bricolaje y Jardinería
190117;Offline;797265.99;33269;Farmacias, Ópticas y Ortopedias
190117;Online;4328.83;57;Bar y Discotecas
190117;Offline;53272.89;1581;Bar y Discotecas
190118;Offline;23642.06;1923;Contenidos digitales y media
190118;Online;76622.69;615;Mantenimiento y Reparaciones Auto
190118;Online;20603.15;1226;Gaming
190118;Online;2104.99;55;Bar y Discotecas
190118;Online;18217.29;1663;Contenidos digitales y media
190118;Offline;1912965.07;9463;Mantenimiento y Reparaciones Auto
190118;Online;255293.33;1234;Alojamiento
190118;Offline;73592.73;3054;Bar y Discotecas
190118;Online;28655.33;659;Combustible y Recarga
190118;Online;1072973.81;27954;Supermercados y Pequeño Comercio
190118;Offline;957709.95;7983;Alojamiento
190118;Online;10421.16;132;Peluquería y Barbería
190118;Offline;2900476.97;78890;Combustible y Recarga
190118;Online;52390.87;499;Bricolaje y Jardinería
190118;Offline;62367.17;3116;Gaming
190118;Offline;10396351.19;339479;Supermercados y Pequeño Comercio
190118;Offline;805372.03;33762;Farmacias, Ópticas y Ortopedias
190118;Offline;1059349.83;17353;Bricolaje y Jardinería
190118;Offline;3408497.64;146626;Restaurantes y Cafeterías
190118;Offline;848604.55;21013;Peluquería y Barbería
190118;Online;50067.10;2231;Restaurantes y Cafeterías
190118;Online;29524.71;505;Farmacias, Ópticas y Ortopedias
190118;Online;1105.15;8;Tabaco, Alcohol y Otros
190118;Offline;395725.16;17945;Tabaco, Alcohol y Otros
190119;Offline;23149.33;1865;Contenidos digitales y media
190119;Online;29510.46;376;Mantenimiento y Reparaciones Auto
190119;Online;21744.79;1293;Gaming
190119;Online;51739.83;2229;Restaurantes y Cafeterías
190119;Online;16463.08;1906;Contenidos digitales y media
190119;Offline;437421.30;3640;Mantenimiento y Reparaciones Auto
190119;Online;168290.35;936;Alojamiento
190119;Online;667.24;9;Tabaco, Alcohol y Otros
190119;Online;21685.50;529;Combustible y Recarga
190119;Online;723936.17;20681;Supermercados y Pequeño Comercio
190119;Offline;81817.81;3638;Gaming
190119;Offline;593939.87;25856;Farmacias, Ópticas y Ortopedias
190119;Offline;2248289.65;66573;Combustible y Recarga
190119;Offline;4768939.31;142507;Restaurantes y Cafeterías
190119;Offline;763893.93;7203;Alojamiento
190119;Offline;13082560.77;396718;Supermercados y Pequeño Comercio
190119;Online;24066.72;399;Farmacias, Ópticas y Ortopedias
190119;Offline;311754.86;13712;Tabaco, Alcohol y Otros
190119;Offline;170195.64;8528;Bar y Discotecas
190119;Offline;548710.37;14328;Peluquería y Barbería
190119;Online;43704.99;417;Bricolaje y Jardinería
190119;Online;5054.17;87;Peluquería y Barbería
190119;Online;1965.94;54;Bar y Discotecas
190119;Offline;1056524.77;19579;Bricolaje y Jardinería
190120;Online;18748.30;1953;Contenidos digitales y media
190120;Online;38882.48;461;Mantenimiento y Reparaciones Auto
190120;Online;222711.24;1121;Alojamiento
190120;Online;2773.09;52;Bar y Discotecas
190120;Offline;23498.90;2033;Contenidos digitales y media
190120;Offline;19856.32;199;Mantenimiento y Reparaciones Auto
190120;Online;21190.11;1408;Gaming
190120;Offline;98227.64;2355;Bricolaje y Jardinería
190120;Online;20397.77;490;Combustible y Recarga
190120;Online;760974.29;24868;Supermercados y Pequeño Comercio
190120;Offline;48380.90;3109;Gaming
190120;Online;5387.07;88;Peluquería y Barbería
190120;Offline;1735377.38;54090;Combustible y Recarga
190120;Online;30429.48;329;Bricolaje y Jardinería
190120;Offline;879964.24;7289;Alojamiento
190120;Offline;1547841.58;74476;Supermercados y Pequeño Comercio
190120;Offline;170520.72;9141;Farmacias, Ópticas y Ortopedias
190120;Offline;203629.03;11303;Bar y Discotecas
190120;Online;578.17;8;Tabaco, Alcohol y Otros
190120;Online;43111.47;639;Farmacias, Ópticas y Ortopedias
190120;Online;54699.37;2505;Restaurantes y Cafeterías
190120;Offline;21335.24;541;Peluquería y Barbería
190120;Offline;57317.80;2927;Tabaco, Alcohol y Otros
190120;Offline;3605736.99;103499;Restaurantes y Cafeterías
190121;Online;16119.14;1409;Contenidos digitales y media
190121;Offline;1245130.30;7508;Mantenimiento y Reparaciones Auto
190121;Online;16322.54;929;Gaming
190121;Offline;377002.22;18134;Tabaco, Alcohol y Otros
190121;Offline;24033.91;1812;Contenidos digitales y media
190121;Online;83939.51;789;Mantenimiento y Reparaciones Auto
190121;Offline;719379.76;6052;Alojamiento
190121;Online;858.96;13;Tabaco, Alcohol y Otros
190121;Online;28521.67;629;Combustible y Recarga
190121;Offline;8127170.44;306148;Supermercados y Pequeño Comercio
190121;Online;257614.12;1297;Alojamiento
190121;Online;11701.55;138;Peluquería y Barbería
190121;Offline;2691091.04;72834;Combustible y Recarga
190121;Online;32670.77;1208;Restaurantes y Cafeterías
190121;Offline;47509.89;2385;Gaming
190121;Online;1632691.16;43219;Supermercados y Pequeño Comercio
190121;Offline;363033.03;8435;Peluquería y Barbería
190121;Offline;1768620.91;97314;Restaurantes y Cafeterías
190121;Online;62202.07;606;Bricolaje y Jardinería
190121;Offline;825988.88;35805;Farmacias, Ópticas y Ortopedias
190121;Online;3686.27;63;Bar y Discotecas
190121;Online;45769.40;789;Farmacias, Ópticas y Ortopedias
190121;Offline;1136566.66;17573;Bricolaje y Jardinería
190121;Offline;31735.38;1117;Bar y Discotecas
190122;Online;14332.24;1350;Contenidos digitales y media
190122;Offline;1376256.91;7673;Mantenimiento y Reparaciones Auto
190122;Online;24934.14;1062;Gaming
190122;Offline;1064325.23;16548;Bricolaje y Jardinería
190122;Offline;22712.96;1923;Contenidos digitales y media
190122;Online;82992.52;659;Mantenimiento y Reparaciones Auto
190122;Online;283637.65;1318;Alojamiento
190122;Online;74258.10;564;Bricolaje y Jardinería
190122;Online;26183.83;593;Combustible y Recarga
190122;Offline;7324368.55;279191;Supermercados y Pequeño Comercio
190122;Offline;731974.68;6868;Alojamiento
190122;Online;8751.86;126;Peluquería y Barbería
190122;Offline;2612306.20;70196;Combustible y Recarga
190122;Online;1769.28;53;Bar y Discotecas
190122;Offline;46623.76;2331;Gaming
190122;Online;1328313.13;35862;Supermercados y Pequeño Comercio
